rideType,displayName,currency,minCostCent,maxCostCent,journeyDuration,distanceMiles,primeTimeConfirmationToken,primeTimePercentage,currentDate
lyft,Lyft,USD,800,1700,908,2.36,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft_plus,Lyft Plus,USD,2500,3700,1265,5.53,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft_line,Lyft Line,USD,1993,1993,1265,5.53,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft,Lyft,USD,1500,2500,1265,5.53,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft_plus,Lyft Plus,USD,1900,3000,1114,3.88,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft_line,Lyft Line,USD,1595,1595,1114,3.88,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft,Lyft,USD,1200,2000,1114,3.88,,0%,Thu Apr 21 00:19:15 EDT 2016
lyft_plus,Lyft Plus,USD,1300,2100,820,2.12,,0%,Thu Apr 21 00:19:16 EDT 2016
lyft_line,Lyft Line,USD,1111,1111,820,2.12,,0%,Thu Apr 21 00:19:16 EDT 2016
lyft,Lyft,USD,800,1500,820,2.12,,0%,Thu Apr 21 00:19:16 EDT 2016
lyft_plus,Lyft Plus,USD,2300,3400,1219,4.78,,0%,Thu Apr 21 00:20:54 EDT 2016
lyft_line,Lyft Line,USD,1858,1858,1219,4.78,,0%,Thu Apr 21 00:20:54 EDT 2016
lyft,Lyft,USD,1400,2400,1219,4.78,,0%,Thu Apr 21 00:20:54 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1500,447,1.25,,0%,Thu Apr 21 00:20:54 EDT 2016
lyft_line,Lyft Line,USD,735,735,447,1.25,,0%,Thu Apr 21 00:20:54 EDT 2016
lyft,Lyft,USD,800,1100,447,1.25,,0%,Thu Apr 21 00:20:54 EDT 2016
lyft_plus,Lyft Plus,USD,1300,2200,853,2.21,,0%,Thu Apr 21 00:20:54 EDT 2016
lyft_line,Lyft Line,USD,1143,1143,853,2.21,,0%,Thu Apr 21 00:20:54 EDT 2016
lyft,Lyft,USD,800,1500,853,2.21,,0%,Thu Apr 21 00:20:54 EDT 2016
lyft_plus,Lyft Plus,USD,5400,6800,2010,13.09,,0%,Thu Apr 21 00:20:54 EDT 2016
lyft_line,Lyft Line,USD,3951,3951,2010,13.09,,0%,Thu Apr 21 00:20:54 EDT 2016
lyft,Lyft,USD,3400,4600,2010,13.09,,0%,Thu Apr 21 00:20:54 EDT 2016
lyft_plus,Lyft Plus,USD,1200,2000,766,2.05,,0%,Thu Apr 21 00:20:54 EDT 2016
